feature1,feature2,correlation
sport_3615,dsport_59789,1.0
sport_3625,dsport_25590,1.0
sport_36431,dsport_65365,1.0
sport_36456,dsport_56984,1.0
sport_36478,dsport_53833,1.0
sport_36743,dsport_777,1.0
sport_36744,dsport_29941,1.0
sport_3680,dsport_65120,1.0
sport_36869,dsport_48910,1.0
sport_37428,dsport_8861,1.0
sport_37461,dsport_40651,1.0
sport_37779,dsport_51627,1.0
sport_3779,dsport_26162,1.0
sport_37861,dsport_10203,1.0
sport_37894,dsport_11995,1.0
sport_37898,dsport_46776,1.0
sport_37926,dsport_51767,1.0
sport_38197,dsport_3543,1.0
sport_38198,dsport_2444,1.0
sport_38261,dsport_48202,1.0
sport_38282,dsport_12621,1.0
sport_38392,dsport_51226,1.0
sport_38585,dsport_65043,1.0
sport_38624,dsport_5038,1.0
sport_38706,dsport_4316,1.0
sport_38740,dsport_23968,1.0
sport_38796,dsport_16890,1.0
sport_3881,dsport_58964,1.0
sport_38965,dsport_29063,1.0
sport_39056,dsport_20159,1.0
sport_3910,dsport_19757,1.0
sport_3916,dsport_50342,1.0
sport_39208,dsport_50243,1.0
sport_39278,dsport_3246,1.0
sport_3928,dsport_38453,1.0
sport_39299,dsport_58278,1.0
sport_39420,dsport_3250,1.0
sport_39474,dsport_49394,1.0
sport_39549,dsport_12625,1.0
sport_39658,dsport_1100,1.0
sport_39803,dsport_49909,1.0
sport_3987,dsport_49160,1.0
sport_39914,dsport_901,1.0
sport_39971,dsport_11387,1.0
sport_40203,dsport_16072,1.0
sport_40270,dsport_1533,1.0
sport_40339,dsport_35788,1.0
sport_4059,dsport_17761,1.0
sport_40616,dsport_60471,1.0
sport_40624,dsport_12213,1.0
sport_40655,dsport_21700,1.0
sport_41237,dsport_1217,1.0
sport_41342,dsport_49416,1.0
sport_41675,dsport_44941,1.0
sport_41694,dsport_52759,1.0
sport_41914,dsport_446,1.0
sport_41916,dsport_4150,1.0
sport_42061,dsport_59324,1.0
sport_42073,dsport_30493,1.0
sport_42100,dsport_12107,1.0
sport_42267,dsport_59179,1.0
sport_42371,dsport_63249,1.0
sport_42764,dsport_56166,1.0
sport_43428,dsport_3443,1.0
sport_43451,dsport_64561,1.0
sport_4355,dsport_30236,1.0
sport_43607,dsport_1718,1.0
sport_43760,dsport_18656,1.0
sport_43894,dsport_61174,1.0
sport_43914,dsport_6542,1.0
sport_43936,dsport_5168,1.0
sport_44144,dsport_1013,1.0
sport_44210,dsport_19985,1.0
sport_44438,dsport_81,1.0
sport_44441,dsport_14654,1.0
sport_44444,dsport_58134,1.0
sport_44759,dsport_45806,1.0
sport_44900,dsport_36668,1.0
sport_44918,dsport_62569,1.0
sport_4519,dsport_43902,1.0
sport_45194,dsport_13064,1.0
sport_45205,dsport_6106,1.0
sport_4526,dsport_23028,1.0
sport_45273,dsport_7510,1.0
sport_45292,dsport_25269,1.0
sport_45313,dsport_45408,1.0
sport_45574,dsport_1024,1.0
sport_45760,dsport_61181,1.0
sport_45776,dsport_1026,1.0
sport_46071,dsport_54812,1.0
sport_46087,dsport_63619,1.0
sport_46105,dsport_53597,1.0
sport_46200,dsport_41080,1.0
sport_46216,dsport_16596,1.0
sport_46350,dsport_57056,1.0
sport_464,dsport_464,1.0
sport_4649,dsport_44305,1.0
sport_46541,dsport_6050,1.0
sport_4727,dsport_59465,1.0
sport_47282,dsport_9495,1.0
sport_47593,dsport_56971,1.0
sport_47632,dsport_42054,1.0
sport_47944,dsport_63997,1.0
sport_48436,dsport_5159,1.0
sport_4853,dsport_12399,1.0
sport_48548,dsport_4105,1.0
sport_49043,dsport_3252,1.0
sport_49310,dsport_3333,1.0
sport_49315,dsport_1582,1.0
sport_49637,dsport_26188,1.0
sport_4967,dsport_33936,1.0
sport_49794,dsport_59131,1.0
sport_49865,dsport_61955,1.0
sport_49952,dsport_65054,1.0
sport_50162,dsport_21375,1.0
sport_50247,dsport_13531,1.0
sport_50552,dsport_19680,1.0
sport_50807,dsport_12174,1.0
sport_50865,dsport_63866,1.0
sport_51085,dsport_8776,1.0
sport_51160,dsport_62540,1.0
sport_51521,dsport_58104,1.0
sport_51587,dsport_58459,1.0
sport_51752,dsport_45744,1.0
sport_51862,dsport_50795,1.0
sport_52022,dsport_44812,1.0
sport_52657,dsport_50375,1.0
sport_53197,dsport_59996,1.0
sport_53567,dsport_5357,1.0
sport_53760,dsport_2317,1.0
sport_53773,dsport_59374,1.0
sport_53973,dsport_46823,1.0
sport_54155,dsport_33107,1.0
sport_54193,dsport_53848,1.0
sport_54228,dsport_8652,1.0
sport_54455,dsport_63681,1.0
sport_54659,dsport_57788,1.0
sport_54748,dsport_31,1.0
sport_54968,dsport_18534,1.0
sport_55156,dsport_52170,1.0
sport_55352,dsport_9049,1.0
sport_55362,dsport_32478,1.0
sport_55506,dsport_8778,1.0
sport_55746,dsport_60994,1.0
sport_55902,dsport_41683,1.0
sport_56022,dsport_50884,1.0
sport_56108,dsport_1158,1.0
sport_56269,dsport_52439,1.0
sport_56791,dsport_59807,1.0
sport_56938,dsport_53209,1.0
sport_56984,dsport_34467,1.0
sport_56995,dsport_16388,1.0
sport_57257,dsport_1761,1.0
sport_57319,dsport_3217,1.0
sport_57353,dsport_60275,1.0
sport_57462,dsport_4377,1.0
sport_57663,dsport_20034,1.0
sport_5773,dsport_3916,1.0
sport_57819,dsport_57738,1.0
sport_57870,dsport_19634,1.0
sport_57883,dsport_36772,1.0
sport_57998,dsport_3057,1.0
sport_5806,dsport_18250,1.0
sport_58108,dsport_28636,1.0
sport_58115,dsport_25128,1.0
sport_58340,dsport_749,1.0
sport_58556,dsport_30005,1.0
sport_58651,dsport_3446,1.0
sport_58673,dsport_64602,1.0
sport_58767,dsport_51123,1.0
sport_58797,dsport_8888,1.0
sport_58856,dsport_5432,1.0
sport_58908,dsport_34384,1.0
sport_58934,dsport_6877,1.0
sport_59104,dsport_7523,1.0
sport_59131,dsport_58215,1.0
sport_59217,dsport_61114,1.0
sport_59269,dsport_1210,1.0
sport_59284,dsport_50619,1.0
sport_59359,dsport_1014,1.0
sport_5945,dsport_45759,1.0
sport_59535,dsport_51456,1.0
sport_59682,dsport_52407,1.0
sport_59702,dsport_54664,1.0
sport_59821,dsport_18810,1.0
sport_59970,dsport_60706,1.0
sport_59980,service_irc,1.0
sport_60078,dsport_12345,1.0
sport_60141,dsport_56220,1.0
sport_6044,dsport_383,1.0
sport_60642,dsport_52312,1.0
sport_60673,dsport_54762,1.0
sport_61027,dsport_22056,1.0
sport_61031,dsport_64184,1.0
sport_61190,dsport_18175,1.0
sport_61305,dsport_60713,1.0
sport_61343,dsport_105,1.0
sport_61499,dsport_34931,1.0
sport_61626,dsport_3265,1.0
sport_61700,dsport_65306,1.0
sport_61730,dsport_5814,1.0
sport_62043,dsport_5512,1.0
sport_62145,dsport_63612,1.0
sport_62346,dsport_2398,1.0
sport_62535,dsport_51178,1.0
sport_62561,dsport_23561,1.0
sport_62567,dsport_28149,1.0
sport_62879,dsport_1741,1.0
sport_62911,dsport_65502,1.0
sport_63001,dsport_64075,1.0
sport_6301,dsport_27135,1.0
sport_63031,dsport_25245,1.0
sport_63204,dsport_3972,1.0
sport_63330,dsport_52692,1.0
sport_63435,dsport_38975,1.0
sport_6397,dsport_3465,1.0
sport_64045,dsport_47262,1.0
sport_64250,dsport_56242,1.0
sport_64314,dsport_8976,1.0
sport_64366,dsport_56824,1.0
sport_64680,dsport_4444,1.0
sport_64790,dsport_54405,1.0
sport_64825,dsport_617,1.0
sport_64828,dsport_60924,1.0
sport_64834,dsport_55126,1.0
sport_65018,dsport_14115,1.0
sport_65129,dsport_16876,1.0
sport_65151,dsport_65185,1.0
sport_65405,dsport_3602,1.0
sport_65511,dsport_54418,1.0
sport_67,dsport_68,1.0
sport_6960,dsport_55225,1.0
sport_7081,dsport_60207,1.0
sport_7107,dsport_55869,1.0
sport_7172,dsport_53956,1.0
sport_7224,dsport_12807,1.0
sport_7292,dsport_5358,1.0
sport_7333,dsport_57026,1.0
sport_7369,dsport_5081,1.0
sport_7398,dsport_18081,1.0
sport_7415,dsport_52674,1.0
sport_7468,dsport_912,1.0
sport_7527,dsport_1477,1.0
sport_7631,dsport_5451,1.0
sport_7663,dsport_19255,1.0
sport_7921,dsport_16091,1.0
sport_80,dsport_2647,1.0
sport_800,dsport_513,1.0
sport_8304,dsport_12510,1.0
sport_8474,dsport_57915,1.0
sport_8594,dsport_43091,1.0
sport_8835,dsport_39083,1.0
sport_8930,dsport_64712,1.0
sport_9177,dsport_21026,1.0
sport_9268,dsport_64394,1.0
sport_9336,dsport_50158,1.0
sport_9665,dsport_29348,1.0
sport_9883,dsport_56907,1.0
dsport_21,service_ftp,0.9043336285211061
dsport_53,service_dns,0.9923350257369334
proto_tcp,state_FIN,0.9925472617290065
proto_tcp,state_INT,0.9845379542314824
state_FIN,state_INT,0.977200450540737
ct_ftp_cmd_0,ct_ftp_cmd_1,0.9999999999999997
